word	phonetic	chinese	english
bottom	'bɒtәm	n. 底部；a. 底部的；vt. 给...装底, 查明真相	n. the lower side of anything / n. the lowest part of anything / n. the second half of an inning; while the home team is at bat
boulder	'bәuldә	n. 大圆石；圆石, 漂石	n. a large smooth mass of rock detached from its place of origin / n. a town in north central Colorado; Rocky Mountains resort center and university town
bounce	bauns	n. 跳, 跳跃, 弹力, 撞击；vi. 反跳, 弹跳；vt. 使跳回, 撞击	n. the quality of a substance that is able to rebound / n. rebounding from an impact (or series of impacts) / v. spring back; spring away from an impact
boundary	'baundri	n. 边界, 分界线；边界	n. the line or plane indicating the limit or extent of something / n. a line determining the limits of an area
bout	baut	n. 一回, 回合, 较量；发作	n. a period of illness / n. a contest or fight (especially between boxers or wrestlers)
bow	bәu.bau	n. 弓, 眼睛框；v. 用弓拉琴, 弯成弓形；n. 鞠躬, 屈服	n. a knot with two loops and loose ends; used to tie shoelaces / n. a slightly curved piece of resilient wood with taut horsehair strands; used in playing certain stringed instruments / n. front part of a vessel or aircraft
bowl	bәul	n. 碗, 木球, 大酒杯；v. 滚木球, 快而稳地行驶	n. a round vessel that is open at the top; used chiefly for holding food or liquids / n. a concave shape with an open top / n. a dish that is round and open at the top for serving foods
bowling	'bәuliŋ	n. 保龄球戏	n. a game in which balls are rolled at an object or group of objects with the aim of knocking them over or moving them / n. (cricket) the act of delivering a cricket ball to the batsman / n. the playing of a game of tenpins or duckpins etc
box	bɒks	n. 盒子, 箱, 方框, 一巴掌；vt. 装...入盒中, 装箱, 打耳光；vi. 拳击	n. a (usually rectangular) container; may have a lid / n. private area in a theater or grandstand where a small group can watch the performance / n. the quantity contained in a box
boxing	'bɒksiŋ	n. 拳击；围模(牙科)	n. fighting with the fists
boy	bɒi	n. 男孩；男孩, 少年, 儿子	n. a friendly informal reference to a grown man / n. (ethnic slur) offensive and disparaging term for Black man
boyfriend	'bɔifrend	n. 男朋友	n. a man who is the lover of a girl or young woman
bra	brɑ:	n. 奶罩；左矢; 刁	n an undergarment worn by women to support their breasts
brace	breis	n. 支柱, 曲柄, 支撑, 一对；vt. 紧缚, 支撑, 激励；vi. 打起精神	n. a support that steadies or strengthens something else / n. either of two punctuation marks ({ or }) used to enclose textual material / n. a rope on a square-rigged ship that is used to swing a yard about and secure it
bracelet	'breislit	n. 手镯；手镯, 腕带, 腕纹(掌侧横列腕部的线纹)	n. jewelry worn around the wrist for decoration
bracket	'brækit	n. 支架, 括弧, 托架；vt. 装托架, 括入括弧；方括号; 括号	n. a category falling within certain defined limits / n. either of two punctuation marks (`<' or `>') used in computer programming and sometimes used to enclose textual material / n. either of two punctuation marks () used to enclose textual material
brain	brein	n. 脑；vt. 打碎脑部	n. that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord / n. mental ability / n. the brain of certain animals used as meat
brake	breik	n. 刹车, 阻碍, 丛林；v. 刹车	n. a restraint used to slow or stop a vehicle / n. any of various ferns of the genus Pteris having pinnately compound leaves and including several popular houseplants / n. an area thickly overgrown usually with one kind of plant
branch	bræntʃ	n. 树枝, 支店, 支流, 分部；vi. 分支, 出枝；vt. 分割, 用枝状叶脉刺绣花纹装饰	n. a division of some larger or more complex organization / n. a division of a stem, or secondary stem arising from the main stem of a plant / n. a part of a forked or branching shape
brand	brænd	n. 商标, 牌子, 烙印；vt. 打烙印于	n. a recognizable kind / n. identification mark on skin, made by burning / n. a piece of wood that has been burned or is burning
brass	bræs.brɑ:s	n. 黄铜, 黄铜制品；a. 黄铜的, 铜管乐器的；v. 镀以黄铜, 支付	n. an alloy of copper and zinc / n. a wind instrument that consists of a brass tube (usually of variable length) that is blown by means of a cup-shaped or funnel-shaped mouthpiece / n. an ornament or utensil made of brass
brave	breiv	a. 勇敢的, 美好的, 华丽的；n. 勇敢者；vt. 勇敢地面对	n. a North American Indian warrior / n. people who are brave / a. possessing or displaying courage; able to face and deal with danger or fear without flinching
Brazilian	brә'ziljәn	n. 巴西人；a. 巴西的, 巴西人的	n. a native or inhabitant of Brazil / a. of or relating to or characteristic of Brazil or the people of Brazil
breach	bri:tʃ	n. 裂口, 违背, 破坏, 违反, 突破, 破裂；vt. 攻破, 突破；vi. 跳出水面	n. a failure to perform some promised act or obligation / n. an opening (especially a gap in a dike or fortification)
bread	bred	n. 面包, 生计, 食物；vt. 裹以面包屑	n. food made from dough of flour or meal and usually raised with yeast or baking powder and then baked / v. cover with bread crumbs
break	breik	n. 休息, 中断, 破裂处, 绝交, 破晓, 突变；vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃；vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停	n. an unexpected piece of good luck / n. the occurrence of breaking / n. an abrupt change in the tone or register of the voice (as at puberty or due to emotion)
breakdown	'breikdaun	n. 崩溃, 故障；事故; 击穿	n. a mental or physical breakdown / n. a cessation of normal operation / n. an analysis into mutually exclusive categories
breakfast	'brekfәst	n. 早餐	n. the first meal of the day (usually in the morning) / v. eat an early morning meal / v. provide breakfast for
breakthrough	'breikθru:	n. 突破；突破, 新发现, 新进展	n. making an important discovery / n. a penetration of a barrier such as an enemy's defense
breakup	'breikʌp	n. 分裂, 崩溃, 解散, 解体；停止	n the termination or disintegration of a relationship (between persons or nations) / n coming apart
breast	brest	n. 胸部, 乳房, 胸怀；vt. 以胸对着, 面对	n. the front of the trunk from the neck to the abdomen / n. either of two soft fleshy milk-secreting glandular organs on the chest of a woman / n. meat carved from the breast of a fowl
breath	breθ	n. 呼吸, 气息, 瞬间；呼气, 呵气, 口气, 呼吸	n. the process of taking in and expelling air during breathing / n. the air that is inhaled and exhaled in respiration / n. a short respite
breathe	bri:ð	vi. 呼吸, 生存, 低语；vt. 呼吸, 使喘息, 发散, 低声说	v. draw air into, and expel out of, the lungs / v. be alive / v. impart as if by breathing
breathing	'bri:ðiŋ	n. 呼吸, 瞬间, 微风；a. 呼吸的, 逼真的	n. the bodily process of inhalation and exhalation; the process of taking in oxygen from inhaled air and releasing carbon dioxide by exhalation / a. passing or able to pass air in and out of the lungs normally; sometimes used in combination
breed	bri:d	n. 种类, 品种；v. 养育, 引起, 饲养, 繁殖	n. a special variety of domesticated animals within a species / n. a special type / v. copulate with a female, used especially of horses
breeding	'bri:diŋ	n. 教养, 生育, 饲养；生育, 繁殖, 育种, 饲养	n. elegance by virtue of fineness of manner and expression / n. helping someone grow up to be an accepted member of the community / n. the production of animals or plants by inbreeding or hybridization
breeze	bri:z	n. 微风, 煤屑, 轻而易举的事；vi. 吹微风, 逃走	n. a slight wind (usually refreshing) / v. blow gently and lightly / v. to proceed quickly and easily
brick	brik	n. 砖块, 积木；a. 用砖做的；vt. 用砖造, 用砖砌	n. rectangular block of clay baked by the sun or in a kiln; used as a building or paving material / n. a good fellow; helpful and trustworthy
bride	braid	n. 新娘	n. a woman who has recently been married / n. a woman participant in her own marriage ceremony
bridge	bridʒ	n. 桥, 舰桥, 桥梁, 桥牌；vt. 架桥于, 跨越；桥, 网桥, 桥接器	n. a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc. / n. a circuit consisting of two branches (4 arms arranged in a diamond configuration) across which a meter is connected / n. something resembling a bridge in form or function
brief	bri:f	n. 摘要, 简报；a. 简短的, 短暂的；vt. 对...作简报, 摘要, 节录	n. a document stating the facts and points of law of a client's case / n. a condensed written summary or abstract / v. give essential information to someone
briefcase	'bri:fkeis	n. 公事包	n. a case with a handle; for carrying papers or files or books
briefing	'bri:fiŋ	n. 简报；简报, 情况的简要介绍	n. detailed instructions, as for a military operation
briefly	'brifli	adv. 简短地, 扼要地, 简明地, 简单地	r. for a short time
bright	brait	a. 明亮的, 聪明的, 鲜明的, 欢快的；adv. 明亮地, 欢快地	a. emitting or reflecting light readily or in large amounts / s. having striking color / s. characterized by quickness and ease in learning
brighten	'braitn	vi. 变亮, 活跃；vt. 使生辉, 使快活	v. make lighter or brighter
brightly	'braitli	adv. 生辉地, 明亮地, 鲜明地	r with brightness
brightness	'braitnis	n. 光亮, 明亮, 聪明；亮度	n. the location of a visual perception along a continuum from black to white / n. intelligence as manifested in being quick and witty
brilliant	'briljәnt	a. 光辉的, 灿烂的, 有才气的；亮的	s. of surpassing excellence / s. characterized by grandeur / s. full of light; shining intensely
bring	briŋ	vt. 带来, 产生, 促使, 提出；vi. 生产	v. take something or somebody with oneself somewhere / v. cause to come into a particular state or condition / v. cause to happen or to occur as a consequence
brink	briŋk	n. 边缘, 陡岸	n. a region marking a boundary / n. the edge of a steep place
British	'britiʃ	a. 英国的；n. 英国人, 英国英语	n. the people of Great Britain / a. of or relating to or characteristic of Great Britain or its people or culture
broad	brɒ:d	a. 宽广的, 辽阔的, 广大的, 显著的；adv. 宽阔地；n. 宽阔部分	n. slang term for a woman / s. not detailed or specific / s. lacking subtlety; obvious
broadcast	'brɒ:dkæst	n. 广播, 传播；a. 广播的；v. 广播	n. message that is transmitted by radio or television / n. a radio or television show / v. sow over a wide area, especially by hand
broaden	'brɒ:dn	vi. 变宽, 扩大；vt. 放宽, 使扩大	v. make broader / v. become broader
broadly	'brɒ:dli	adv. 宽广地, 明白地, 无礼貌地	r. without regard to specific details or exceptions / r. in a wide fashion
broadway	'brɒ:dwei	n. 百老汇大街	n. a street in Manhattan that passes through Times Square; famous for its theaters
broccoli	'brɒkәli	n. 花椰菜	n. plant with dense clusters of tight green flower buds / n. branched green undeveloped flower heads
brochure	'brәuʃә	n. 小册子, 小册	n a small book usually having a paper cover
broken	'brәukәn	a. 坏掉的, 打破的, 断掉的；break的过去分词	a. physically and forcibly separated into pieces or cracked or split / a. not continuous in space, time, or sequence or varying abruptly / s. subdued or brought low in condition or status
broker	'brәukә	n. 掮客, 经纪人；经纪人, 掮客	v. act as a broker
bronze	brɒnz	n. 青铜, 铜像；a. 青铜色的	n. an alloy of copper and tin and sometimes other elements; also any copper-base alloy containing other elements in place of tin / n. a sculpture made of bronze / v. give the color and appearance of bronze to something
broth	brɒθ	n. 原汁清汤, 肉汤；肉汤(培养基)	n. liquid in which meat and vegetables are simmered; used as a basis for e.g. soups or sauces / n. a thin soup of meat or fish or vegetable stock
brother	'brʌðә	n. 兄弟	n. a male with the same parents as someone else / n. a male person who is a fellow member (of a fraternity or religion or other group) / n. used as a term of address for those male persons engaged in the same movement
brow	brau	n. 眉毛, 额；额, 眉, 睫毛	n. the part of the face above the eyes
brown	braun	n. 褐色；a. 褐色的；v. (使)变褐色	n. an orange of low brightness and saturation / n. Scottish botanist who first observed the movement of small particles in fluids now known a Brownian motion (1773-1858) / n. abolitionist who was hanged after leading an unsuccessful raid at Harper's Ferry, Virginia (1800-1859)
bruise	bru:z	n. 青肿, 挫伤, 擦伤；vi. 受伤, 擦伤；vt. 使受伤, 研碎	n. an injury that doesn't break the skin but results in some discoloration / v. injure the underlying soft tissue or bone of / v. break up into small pieces for food preparation
brush	brʌʃ	n. 刷子, 毛笔, 争吵；vt. 刷；vi. 擦过, 掠过	n. a dense growth of bushes / n. an implement that has hairs or bristles firmly set into a handle / n. momentary contact
brutal	'bru:tәl	a. 残忍的, 野蛮的, 不讲理的	s. harsh / s. disagreeably direct and precise
bubble	'bʌbl	n. 泡沫；vi. 冒泡, 沸腾；vt. 使冒泡, 滔滔不绝地说	n. a hollow globule of gas (e.g., air or carbon dioxide) / n. an impracticable and illusory idea / n. a dome-shaped covering made of transparent glass or plastic
buck	bʌk	n. 元, 雄鹿, 纨绔子弟, 鞍马, 培克(赌博时的庄家标志), 碱水, 自夸, 谈话；vi. 马背突然拱起, 反对, 吹牛, 闲聊；vt. 马背突然拱起将骑手摔下, 反对, 用碱水洗	n. United States author whose novels drew on her experiences as a missionary in China (1892-1973) / n. mature male of various mammals (especially deer or antelope) / v. to strive with determination
bucket	'bʌkit	n. 桶；存储桶; 桶	n. a roughly cylindrical vessel that is open at the top / n. the quantity contained in a bucket / v. put into a bucket
bud	bʌd	n. 芽, 花蕾；vi. 发芽, 萌芽；vt. 使发芽	n. a partially opened flower / n. a swelling on a plant stem consisting of overlapping immature leaves or petals / v. develop buds
buddy	'bʌdi	n. 好朋友, 伙伴	n. a close friend who accompanies his buddies in their activities
budget	'bʌdʒit	n. 预算；vi. 编预算；vt. 编入预算, 安排	n. a sum of money allocated for a particular purpose / n. a summary of intended expenditures along with proposals for how to meet them / v. make a budget
buffalo	'bʌfәlәu	n. 水牛；水牛	n. a city on Lake Erie in western New York (near Niagara Falls) / n. meat from an American bison / v. intimidate or overawe
bug	bʌg	n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人；vt. 装防盗报警器, 装窃听器, 激怒；vi. 捉虫, 暴突	n. general term for any insect or similar creeping or crawling invertebrate / n. a fault or defect in a computer program, system, or machine / n. a small hidden microphone; for listening secretly
build	bild	v. 建立, 建筑；n. 构造, 体格	v. build or establish something abstract / v. improve the cleansing action of / v. order, supervise, or finance the construction of
builder	'bildә	n. 建立者；组份	n. a substance added to soaps or detergents to increase their cleansing action / n. a person who creates a business or who organizes and develops a country / n. someone who contracts for and supervises construction (as of a building)
building	'bildiŋ	n. 建筑物, 建筑；营造, 建筑, 建筑物	n. a structure that has a roof and walls and stands more or less permanently in one place / n. the occupants of a building
buildup	'bildʌp	n. 发展, 集结, 增强	n. the act of building up an accumulation / n. the result of the process of accumulation / n. highly favorable publicity and praise
bulb	bʌlb	n. 球茎, 电灯泡；球, 鳞茎, 球茎	n. a modified bud consisting of a thickened globular underground stem serving as a reproductive structure / n. a rounded part of a cylindrical instrument (usually at one end) / n. anything with a round shape resembling a teardrop
bulk	bʌlk	n. 大小, 体积, 大块, 大多数；vt. 显得大, 显得重要	n. the property of something that is great in magnitude / n. the property possessed by a large mass / v. stick out or up
bull	bul	n. 公牛；买方, 买空者	n. uncastrated adult male of domestic cattle / n. a large and strong and heavyset man / n. a serious and ludicrous blunder
bullet	'bulit	n. 子弹；弹, 子弹, 距节(马)	n. a projectile that is fired from a gun
bulletin	'bulitin	n. 公告, 布告, 公报；电子布告栏	n. a brief report (especially an official statement issued for immediate publication or broadcast) / v. make public by bulletin
bully	'buli	n. 欺凌弱小者, 土霸；vt. 威胁, 恐吓, 欺负；vi. 欺负	n. a cruel and brutal fellow / n. a hired thug
bum	bʌm	n. 游荡者, 懒鬼, 闹饮；a. 没有价值的；vi. 过游民生活, 乞讨, 流浪	v. be lazy or idle / s. of very poor quality; flimsy
bump	bʌmp	n. 撞击, 肿块；vt. 碰撞；vi. 撞, 颠簸而行	n. a lump on the body caused by a blow / v. knock against with force or violence / v. dance erotically or dance with the pelvis thrust forward
bunch	bʌntʃ	n. 串, 束；骨肿块(马)	n. a grouping of a number of similar things / n. any collection in its entirety / v. gather or cause to gather into a cluster
bundle	'bʌndl	n. 捆, 束；vt. 包扎, 胡乱塞进；vi. 匆忙离开	n. a package of several things tied together for carrying or storing / v. make into a bundle / v. sleep fully clothed in the same bed with one's betrothed
bunker	'bʌŋkә	n. 煤仓, 沙坑, 暗堡；vt. 击入沙坑, 使陷入困境	n. a hazard on a golf course / n. a large container for storing fuel / n. a fortification of earth; mostly or entirely below ground
burden	'bә:dn	n. 负担, 重载, 担子, 责任；vt. 装货于, 烦扰, 使负担	n. an onerous or difficult concern / n. the central idea that is expanded in a document or discourse / v. weight down with a load
bureau	'bjuәrәu	n. 局, 办公处；局, 司, 处	n an administrative unit of government / n furniture with drawers for keeping clothes
bureaucracy	bjuә'rɒkrәsi	n. 官僚, 官吏；官僚主义, 官僚政治, 官僚机构	n. nonelective government officials / n. a government that is administered primarily by bureaus that are staffed with nonelective officials / n. any organization in which action is obstructed by insistence on unnecessary procedures and red tape
bureaucrat	'bjuәrәukræt	n. 官僚作风的人, 官僚, 官僚主义者；官僚, 官僚作风的人	n. an official of a bureaucracy
bureaucratic	bjuәrәu'krætik	a. 官僚的；机僚化的	a. of or relating to or resembling a bureaucrat or bureaucracy
burger	'bә:ɡә	n. 汉堡包（等于hamburger）	n. United States jurist appointed chief justice of the United States Supreme Court by Richard Nixon (1907-1995)
burial	'beriәl	n. 埋葬, 葬礼；埋葬, 葬礼	n. the ritual placing of a corpse in a grave
burn	bә:n	vt. 烧, 烧毁, 烧伤；vi. 燃烧, 发热, 烧毁；n. 烧伤, 烙印	n. pain that feels hot as if it were on fire / n. an injury caused by exposure to heat or chemicals or radiation / n. a place or area that has been burned (especially on a person's body)
burning	'bә:niŋ	a. 燃烧的, 象燃烧一样的；n. 烧, 燃烧	n. the act of burning something / n. execution by fire / n. a form of torture in which cigarettes or cigars or other hot implements are used to burn the victim's skin
burst	bә:st	n. 破裂, 突发, 爆发；v. 爆裂, 突发, 充满；二进制位组; 字符组; 脉冲串	n. a sudden flurry of activity (often for no obvious reason) / v. come open suddenly and violently, as if from internal pressure / v. move suddenly, energetically, or violently
bury	'beri	vt. 埋葬, 埋藏	v. cover from sight / v. place in a grave or tomb / v. place in the earth and cover with soil
bus	bʌs	n. 公共汽车；总线; 汇流条; 母线	n. a vehicle carrying many passengers; used for public transport / n. a car that is old and unreliable / v. send or move around by bus
business	'biznis	n. 生意, 事情, 业务, 商业, 商行, 职责；企业, 商业, 营业	n. a commercial or industrial enterprise and the people who constitute it / n. a rightful concern or responsibility / n. an immediate objective
businessman	'biznismæn	n. 商人, 实业家, 工商业家	n. a person engaged in commercial or industrial business (especially an owner or executive)
bust	bʌst	n. 半身像, 胸部, 失败, 殴打；vt. 使爆裂, 使破产；vi. 爆裂, 破产	n. a sculpture of the head and shoulders of a person / n. an occasion for excessive eating or drinking
busy	'bizi	a. 忙碌的, 热闹的, 没空的；vt. 使忙；vi. 忙碌	v. keep busy with / a. actively or fully engaged or occupied / s. overcrowded or cluttered with detail
but	bʌt	prep. 除了；conj. 但是；adv. 仅仅	r and nothing more
butt	bʌt	n. 粗大的一头, 烟头, 靶, 笑柄；对核	n. thick end of the handle / n. the part of a plant from which the roots spring or the part of a stalk or trunk nearest the roots / n. a victim of ridicule or pranks
butter	'bʌtә	n. 奶油, 黄油；vt. 涂黄油于	n. an edible emulsion of fat globules made by churning milk or cream; for cooking and table use / n. a fighter who strikes the opponent with his head / v. spread butter on
butterfly	'bʌtәflai	n. 蝴蝶；蝶式棉块, 翼形皮癣, 纸蝶	n. diurnal insect typically having a slender body with knobbed antennae and broad colorful wings / n. a swimming stroke in which the arms are thrown forward together out of the water while the feet kick up and down / v. flutter like a butterfly
button	'bʌtәn	n. 钮扣, 按钮；vi. 扣住；vt. 钉钮扣于, 扣紧	n. a round fastener sewn to shirts and coats etc to fit through buttonholes / n. any of various plant parts that resemble buttons / n. a round flat badge displaying information and suitable for pinning onto a garment
buy	bai	vt. 买, 获得；vi. 买；n. 购买, 买得的东西	v. obtain by purchase; acquire by means of a financial transaction / v. be worth or be capable of buying / v. acquire by trade or sacrifice or exchange
buyer	'baiә	n. 买主, 买方；买主, 买方, 买手	n. a person who buys
buying	'baiiŋ	买气; 买进	n. the act of buying
by	bai	prep. 被, 经, 由, 在...之旁；adv. 经过, 在近处	r. so as to pass a given point
bypass	'baipɑ:s	n. 旁路；vt. 省略, 绕过, 忽视, 回避	n. a surgically created shunt (usually around a damaged part) / v. avoid something unpleasant or laborious
cab	kæb	n. 出租车, 出租汽车, 出租马车；vi. 乘出租马车(或汽车)	n. a compartment at the front of a motor vehicle or locomotive where driver sits / n. small two-wheeled horse-drawn carriage; with two seats and a folding hood / n. a car driven by a person whose job is to take passengers where they want to go in exchange for money
cabbage	'kæbidʒ	n. 卷心菜；卷心菜, 甘兰	n. any of various types of cabbage / n. any of various cultivars of the genus Brassica oleracea grown for their edible leaves or flowers
cabin	'kæbin	n. 小屋, 客舱；vt. 关在小屋	n. small room on a ship or boat where people sleep / n. a small house built of wood; usually in a wooded area / n. the enclosed compartment of an aircraft or spacecraft where passengers are carried
cabinet	'kæbinit	n. 橱柜, 内阁；a. 内阁的, 细木工做的；机柜	n. a piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display / n. persons appointed by a head of state to head executive departments of government and act as official advisers / n. a storage compartment for clothes and valuables; usually it has a lock
cable	'keibl	n. 电缆, 海底电报, 缆, 索；vi. 打海底电报；vt. 发海底电报, 缚住	n. a telegram sent abroad / n. a conductor for transmitting electrical or optical signals or electric power / n. a very strong thick rope made of twisted hemp or steel wire
cafe	kɑ:'fei	n. 咖啡馆, 酒店	n. a small restaurant where drinks and snacks are sold
cafeteria	.kæfi'tiәriә	n. 自助餐厅；自助餐厅	n. a restaurant where you serve yourself and pay a cashier
cage	keidʒ	n. 笼, 牢房, 战俘营；vt. 关进笼内	n. an enclosure made or wire or metal bars in which birds or animals can be kept / n. something that restricts freedom as a cage restricts movement / n. United States composer of avant-garde music (1912-1992)
cake	keik	n. 蛋糕, 块, 饼；vt. 使结块, 加块状物于；vi. 结块	n. a block of solid substance (such as soap or wax) / n. baked goods made from or based on a mixture of flour, sugar, eggs, and fat
calcium	'kælsiәm	n. 钙；钙Ca	n. a white metallic element that burns with a brilliant light; the fifth most abundant element in the earth's crust; an important component of most plants and animals
calculate	'kælkjuleit	v. 计算, 预测, 计划, 打算	v. make a mathematical calculation or computation / v. judge to be probable / v. specifically design a product, event, or activity for a certain public
calculation	.kælkju'leiʃәn	n. 计算, 考虑, 计算的结果；计算	n. the procedure of calculating; determining something by mathematical or logical methods / n. problem solving that involves numbers or quantities / n. planning something carefully and intentionally
calendar	'kælindә	n. 日历, 日程表；vt. 列入表中；日历	n. a system of timekeeping that defines the beginning and length and divisions of the year / n. a list or register of events (appointments or social events or court cases etc) / n. a tabular array of the days (usually for one year)
calf	kɑ:f	n. 小牛, 小牛皮, 腓肠；腓肠	n. young of domestic cattle / n. the muscular back part of the shank / n. fine leather from the skin of a calf
call	kɒ:l	n. 呼叫, 访问, 打电话, 号召, 召集, 要求；vt. 呼叫, 召集, 打电话；vi. 叫喊, 访问, 叫牌	n. a telephone connection / n. a special disposition (as if from a divine source) to pursue a particular course / n. a demand especially in the phrase "the call of duty"
caller	'kɒ:lә	n. 访客, 召集员, 传唤员；a. 新鲜的；呼叫方标识	n. a social or business visitor / n. an investor who buys a call option / n. the bettor in a card game who matches the bet and calls for a show of hands
calm	kɑ:m	n. 平稳, 风平浪静；a. 平静的, 冷静的；vi. 平静下来, 镇静	v. make calm or still / v. become quiet or calm, especially after a state of agitation / s. not agitated; without losing self-possession
calmly	'kɑ:mli	adv. 平静地, 安静地, 冷静地	r. with self-possession (especially in times of stress)
camel	'kæml	n. 骆驼, 打捞浮筒	n. cud-chewing mammal used as a draft or saddle animal in desert regions
camera	'kæmәrә	n. 照相机, 摄影机, 密谈室, 暗箱；摄影	n. equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other)
camp	kæmp	n. 露营, 帐篷；vi. 露营, 扎营；vt. 使扎营	n. temporary living quarters specially built by the army for soldiers / n. a group of people living together in a camp / n. temporary lodgings in the country for travelers or vacationers
campaign	kæm'pein	n. 战役, 运动, 竞选运动；vi. 参加运动, 作战	n. a series of actions advancing a principle or tending toward a particular end / n. several related operations aimed at achieving a particular goal (usually within geographical and temporal constraints) / n. an overland journey by hunters (especially in Africa)
camping	'kæmpiŋ	n. 野营, 露营	n. the act of encamping and living in tents in a camp
campus	'kæmpәs	n. 校园, 大学生活	n. a field on which the buildings of a university are situated
can	kæn	vt. 装罐；n. 罐头, 容器；aux. 能, 可以	n. airtight sealed metal container for food or drink or paint etc. / n. the quantity contained in a can / n. a buoy with a round bottom and conical top
Canadian	kә'neidiәn	a. 加拿大的	n. a native or inhabitant of Canada / n. a river rising in northeastern New Mexico and flowing eastward across the Texas panhandle to become a tributary of the Arkansas River in Oklahoma / a. of or relating to Canada or its people
canal	kә'næl	n. 运河, 水道, 管, 沟渠；vt. 开运河	n. (astronomy) an indistinct surface feature of Mars once thought to be a system of channels; they are now believed to be an optical illusion / n. long and narrow strip of water made for boats or for irrigation / v. provide (a city) with a canal
cancel	'kænsәl	n. 取消, 撤消, 盖销(邮票)；vt. 取消, 删去, 抵销, 盖销；vi. 相互抵销	v. postpone indefinitely or annul something that was scheduled / v. make up for / v. declare null and void; make ineffective
cancer	'kænsә	n. 癌, 恶性肿瘤；癌	n. any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream / n. (astrology) a person who is born while the sun is in Cancer / n. a small zodiacal constellation in the northern hemisphere; between Leo and Gemini
candidate	'kændideit	n. 候选人, 投考者；候选, 候补者	n. someone who is considered for something (for an office or prize or honor etc.)
candle	'kændl	n. 蜡烛；vt. 对着光检查	n. stick of wax with a wick in the middle / n. the basic unit of luminous intensity adopted under the Systeme International d'Unites; equal to 1/60 of the luminous intensity per square centimeter of a black body radiating at the temperature of 2,046 degrees Kelvin / v. examine eggs for freshness by holding them against a light
candy	'kændi	n. 糖果, 冰糖；vt. 用糖煮, 使结晶为砂糖；vi. 结晶为砂糖	n. a rich sweet made of flavored sugar and often combined with fruit or nuts
cane	kein	n. 手杖, 细长的茎, 藤条；vt. 以杖击, 以藤编制	n. a stick that people can lean on to help them walk / n. a strong slender often flexible stem as of bamboos, reeds, rattans, or sugar cane / n. a stiff switch used to hit students as punishment
canned	kænd	a. 罐装的, 录音的, 一稿数用的, 刻板的, 被囚的；洋铁罐的, 罐头的	s. recorded for broadcast / s. sealed in a can or jar
canoe	kә'nu:	n. 独木舟, 轻舟；vi. 乘独木舟；vt. 用独木舟运	n. small and light boat; pointed at both ends; propelled with a paddle / v. travel by canoe
canopy	'kænәpi	n. 天篷, 遮篷, 苍穹；vt. 用天蓬遮盖	n. the transparent covering of an aircraft cockpit / n. the umbrellalike part of a parachute that fills with air / n. a covering (usually of cloth) that serves as a roof to shelter an area from the weather
canvas	'kænvәs	n. 帆布, 画布, 油画；帆布	n. a heavy, closely woven fabric (used for clothing or chairs or sails or tents) / n. an oil painting on canvas fabric / n. the setting for a narrative or fictional or dramatic account
canyon	'kænjәn	n. 峡谷, 海底悬崖	n. a ravine formed by a river in an area with little rainfall
cap	kæp	n. 盖子, 帽子；vt. 戴帽子, 覆盖, 胜过；vi. 脱帽致意	n. a tight-fitting headdress / n. a top (as for a bottle) / n. something serving as a cover or protection
capability	.keipә'biliti	n. 能力, 性能, 约束力；能力	n. the quality of being capable -- physically or intellectually or legally / n. the susceptibility of something to a particular treatment / n. an aptitude that may be developed
capable	'keipәbl	a. 有能力的, 能的, 能干的	a. (usually followed by `of') having capacity or ability / s. possibly accepting or permitting / a. (followed by `of') having the temperament or inclination for
capacity	kә'pæsiti	n. 容量, 能力, 才能, 资格；容量	n. capability to perform or produce / n. the amount that can be contained / n. the maximum production possible
capital	'kæpitәl	n. 首都, 大写字母, 资本；a. 首都的, 重要的	n. assets available for use in the production of further assets / n. wealth in the form of money or property owned by a person or business and human resources of economic value / n. a seat of government
capitalism	'kæpitәlizәm	n. 资本主义；资本主义	n. an economic system based on private ownership of capital
capitalist	'kæpitәlist	n. 资本家, 资本主义者；a. 资本主义的	n. a conservative advocate of capitalism / n. a person who invests capital in a business (especially a large business) / a. of or relating to capitalism or capitalists
capitalize	kә'pitәlaiz	vt. 以大写字母写, 使资本化, 估计...的价值；资本化, 收益的现值化	v. draw advantages from / v. supply with capital, as of a business by using a combination of capital used by investors and debt capital provided by lenders / v. write in capital letters
capsule	'kæpsju:l	n. 胶囊, 蒴果, 瓶帽, 航天舱；胶囊剂	n. a small container / n. a pill in the form of a small rounded gelatinous container with medicine inside / n. a dry dehiscent seed vessel or the spore-containing structure of e.g. mosses
captain	'kæptin	n. 船长, 指挥官, 海军上校, 首领；vt. 率领, 指挥	n. an officer holding a rank below a major but above a lieutenant / n. the naval officer in command of a military ship / n. a policeman in charge of a precinct
